lemma;inflection;pos;syllable
ένας;ενας,μία,μια,ένα,ενα,εν,ενός,μίας,μιας,έναν,μιαν,μίαν,έναν;quant;2
αυτός;αυτός,αυτή,αυτό,αυτού,αυτής,αυτόν,αυτήν,αυτή,αυτοί,αυτές,αυτών,αυτούς,αυτά;pron;2
δεν;;part;1
έχω;χω,χεις,έχω,έχεις,έχει,έχουμε,έχετε,έχουν,είχα,είχες,είχε,είχαμε,είχατε,είχαν,είχανε,έχε,έχετε,'χω,'χεις,'χες,'χα,'χουν,εχοντασ,εχοντας;verb;2
ο;ό,η,το,του,της,στου,τον,στον,την,τη,στη,στην,στο,οι,τα,στων,των,τους,στους,τις,στις,στα;article;1
θα;;part;1
σε;;prep;1
να;;conj;1
ότι;ότι;conj;2
τη;;article;1
εγώ;γω;pron;2
τους;;article;1
η;;article;1
και;κι;conj;1
μου;;pron;1
που;;noun;1
ποιος;ποια,ποιο,ποια,ποιου,ποιανού,ποιας,ποιανής,ποιον,ποιο,ποιοι,ποιες,ποιων,ποιους,ποιανούς;pron;1
οποίος;όποια,όποιο,όποιου,οποιανού,όποιας,οποιανής,όποιο,όποιον,πτώση,όποιοι,όποιες,όποιων,οποιανών,όποιους,οποιανούς;pron;3
με;;prep;1
από;απ,απ',από,απ';prep;2
πολύς;πολλή,πολλού,πολλής,πολλού,πολλιά,πολλοί,πολλές,πολλά,πολλών,πολλούς;adj;2
λέγω;λέω,έλεγα,λέγοντας,λες,έλεγες,λέγε,λέει,έλεγε,λέμε,λέγαμε,λέτε,λέγατε,λέγετε,λένε,έλεγαν,λέγανε,είπα,πω,πει,είπες,πεις,πες,είπε,είπαμε,πούμε,πούμε,είπατε,πείτε,πέστε,είπαν,είπανε,πουν,λέγομαι,λεγόμουνα,λέγομαι,λέγομαι,λεγόμενος,λέγεσαι,λεγόσουν,λεγόσουνα,λέγεσαι,λέγου,λέγεται,λεγόταν,λεγότανε,λεγόμαστε,λεγόμασταν,λεγόμαστε,λέγεστε,λεγόσαστε,λεγόσασταν,λέγεστε,λέγονται,λέγονταν,λεγόντουσαν,λέγονται;verb;2
